channel_0,channel_1,channel_2,channel_3,channel_4,channel_5,channel_6,channel_7,time,tag
-49556.25379756139,-52667.9295501625,-16077.520379724549,-49102.803957796576,-71869.59795589423,-69637.32923714271,-81594.08200908685,-64698.75600323153,1507440104.882412,stop
-49595.0564259358,-52827.65511604013,-15823.470452245529,-49098.75829205016,-71820.33471111473,-69549.95626806692,-81459.99389409946,-64310.95323693195,1507440104.8825998,stop
-50710.98961961146,-54564.20684626184,-15124.084368238971,-49446.93141543048,-71476.34136394756,-69444.72425517133,-81107.68569799492,-62629.8338329594,1507440104.8827798,stop
-50796.99913227548,-54562.26224449423,-15361.504597843243,-49483.096537959165,-71491.96523332183,-69532.52190739178,-81227.69221397546,-62903.1956676478,1507440104.882954,stop
-49683.2787613009,-52845.26829067091,-16030.224088457118,-49137.35975472448,-71836.33856014474,-69640.52553659983,-81574.32306698836,-64553.089684616294,1507440104.883136,stop
-49475.31813088872,-52635.65363116904,-15909.85994456529,-49059.21805610872,-71862.55715639082,-69577.60537595814,-81513.8392464923,-64512.05188179635,1507440104.8833122,stop
-50514.20486142694,-54272.11424971989,-15208.976293680227,-49378.28920820823,-71535.12645186501,-69456.86125241057,-81156.30074218521,-62874.697193467284,1507440104.8834848,stop
-50911.350656908835,-54770.84872375116,-15224.600163054487,-49512.95846855146,-71450.45804386832,-69511.04188097022,-81167.92364930197,-62643.043713932486,1507440104.883657,stop
-49835.20356836362,-53070.05978465793,-15953.356439275318,-49176.765880199186,-71790.83040843373,-69634.26704815234,-81537.97913050403,-64348.2359466834,1507440104.883842,stop
-49385.82174608967,-52496.6928358904,-15969.561454005416,-49025.265756281115,-71888.28401425887,-69596.55965525623,-81551.61369462177,-64654.92423235467,1507440104.884018,stop
-50285.61357088251,-53934.73701891149,-15311.548448985632,-49296.504175246264,-71596.90667353949,-69469.0429531387,-81211.62130971209,-63161.760647506795,1507440104.884192,stop
-50967.051204091455,-54897.62781830166,-15112.595571588943,-49523.59789891218,-71424.86529646699,-69490.7017935159,-81119.88975046751,-62454.015011073956,1507440104.884365,stop
-50010.66476233778,-53341.63347978991,-15851.365429325751,-49225.93971800086,-71739.91313456454,-69625.46046083694,-81490.86165319225,-64093.00137674825,1507440104.884545,stop
-49343.3981351135,-52428.452960068345,-16013.728501049103,-49010.2677357516,-71908.4229360131,-69618.39730958907,-81583.06259907038,-64746.678143343706,1507440104.884726,stop
-50058.22927453867,-53594.4987648128,-15434.661857445462,-49221.290555154155,-71669.95217441944,-69493.83103773964,-81280.82231054573,-63477.85901759375,1507440104.884903,stop
-50960.59154994387,-54930.574289628785,-15037.40430324129,-49514.970125552434,-71419.34441558653,-69475.81553170866,-81089.42432277492,-62354.88502441467,1507440104.885076,stop
-50202.64389546441,-53646.57832939367,-15726.77680573187,-49280.008587838245,-71683.74320074836,-69611.84824846366,-81431.74128910796,-63795.410251070294,1507440104.885292,stop
-49347.44380085991,-52428.96705019082,-16036.192004226687,-49008.770168873096,-71916.67072971711,-69636.52457434233,-81601.39102952374,-64778.127047792324,1507440104.885609,stop
-49839.9644899326,-53266.15163876434,-15555.115408315112,-49144.98169958374,-71736.04628277376,-69515.86985777257,-81345.77647993284,-63783.6532334868,1507440104.885886,stop
-50894.54214507844,-54865.73187896394,-15005.106032503372,-49485.398767638064,-71433.5154215712,-69465.46667402585,-81078.56137496965,-62353.52156800289,1507440104.886086,stop
-50395.11476696906,-53959.882731423706,-15584.262083084832,-49333.205739641875,-71625.8521826091,-69593.69863196596,-81365.51307028688,-63474.19333150308,1507440104.8864179,stop
-49394.20365026041,-52490.07671953162,-16036.683742604702,-49018.15790154433,-71912.20038082605,-69648.6392198371,-81606.9119104042,-64751.12614049031,1507440104.8866692,stop
-49648.14181901715,-52971.93562649914,-15673.534950439329,-49080.45221334127,-71802.31920508375,-69544.413035442,-81414.23987319945,-64073.19773116085,1507440104.886996,stop
-50769.2829691509,-54701.06657756169,-15018.092396031905,-49435.82259843619,-71467.15479697642,-69461.10808385708,-81089.53608149721,-62452.65155466218,1507440104.887203,stop
-50576.409766246055,-54260.51369434759,-15434.43834000091,-49382.87131582157,-71571.17981567142,-69572.30801252223,-81296.51323515335,-63151.2553276128,1507440104.8874109,stop
-49487.65629382805,-52616.989924548856,-16016.164841194732,-49042.96833788972,-71897.64939518564,-69657.42345540803,-81601.43573301265,-64665.04957259293,1507440104.887608,stop
-49493.311285175245,-52728.81570205876,-15776.241216211465,-49026.159826059324,-71855.78457782086,-69568.59762294265,-81472.24265006097,-64316.943504445975,1507440104.887807,stop
-50603.72359797044,-54461.746449678714,-15074.619957759376,-49374.19883897291,-71516.68626268939,-69463.7902931917,-81120.71676501236,-62637.67929526321,1507440104.887999,stop
-50733.40841930013,-54527.192357443855,-15287.45326846281,-49425.20551981992,-71522.09538484758,-69548.95043956643,-81228.78744945377,-62849.21620478824,1507440104.888185,stop
-49620.336248914755,-52803.49288028394,-15967.370983048795,-49077.30061737307,-71866.02167678138,-69656.95406877447,-81577.96640133458,-64512.94595157456,1507440104.8883631,stop
-49376.121088996064,-52541.99982190131,-15861.557824797372,-48986.57488662897,-71899.90692137563,-69595.08444012218,-81524.74689778649,-64515.80697486484,1507440104.8885381,stop
-50401.10503448308,-54160.042603020986,-15165.14452280337,-49302.36033229355,-71579.27114716425,-69475.36849681956,-81170.38234119206,-62894.433783821325,1507440104.888712,stop
-50839.24392929601,-54723.284211550264,-15155.890900598873,-49452.09466839966,-71486.71257337483,-69528.49859338983,-81171.70109411492,-62603.79405066896,1507440104.888899,stop
-49775.77027985696,-53031.99476385055,-15893.09613622381,-49120.126559749435,-71827.1519931736,-69654.65183909558,-81544.90817128518,-64312.09317589917,1507440104.889076,stop
-49300.54984099267,-52415.08661688407,-15930.892936097734,-48960.91508399428,-71935.51325029293,-69621.30303636826,-81569.6068489083,-64666.03304934896,1507440104.889249,stop
-50178.012273074666,-53821.3019158008,-15279.339585225534,-49223.25750866622,-71649.07564509817,-69491.97584294985,-81231.84963844415,-63195.78000256777,1507440104.8894231,stop
-50890.04944444293,-54835.02058208235,-15051.307088292491,-49456.78853473527,-71463.39970390794,-69504.89515124501,-81123.17545690245,-62427.34937993877,1507440104.889604,stop
-49961.93795942521,-53311.056293375055,-15792.714451875026,-49169.52391499566,-71777.0393821048,-69643.27480116783,-81495.35435382776,-64051.96357392831,1507440104.8897789,stop
-49274.554762191154,-52360.41424994639,-15978.122172131798,-48949.24747338861,-71957.23914590348,-69642.58189708971,-81600.22873881206,-64751.72963759061,1507440104.889951,stop
-49960.52979952453,-53484.01409197022,-15406.878639087516,-49146.88159786244,-71721.31648317772,-69512.96413099338,-81298.68135436552,-63510.71608194305,1507440104.890124,stop
-50887.74721476403,-54860.68038471704,-14987.112878216849,-49447.28904334176,-71461.79037830715,-69488.91365395948,-81095.05696237767,-62340.87048064119,1507440104.8903072,stop
-50163.77421185663,-53620.06916046968,-15669.288118992821,-49223.14574994394,-71718.79073605427,-69624.63344629211,-81432.59065539726,-63748.784512136524,1507440104.890483,stop
-49290.40214900996,-52367.58915991654,-16000.742137520569,-48947.43698208773,-71960.65896280516,-69654.7412460734,-81613.75154420752,-64774.12608553482,1507440104.890657,stop
-49759.56526512686,-53165.926416626746,-15537.725751128883,-49077.14415516188,-71790.27161482234,-69536.58992488265,-81366.8541749542,-63819.4160246153,1507440104.890829,stop
-50826.77165588995,-54787.970160003926,-14971.846636753875,-49421.517481984796,-71482.73396286178,-69482.58811027862,-81092.26299432076,-62360.09298087275,1507440104.891008,stop
-50371.82424924663,-53942.895405637675,-15536.585812161662,-49283.33899776209,-71664.02896213878,-69608.2272658619,-81369.20110812201,-63430.18274667058,1507440104.8911831,stop
-49354.23873117432,-52442.020468952716,-16007.78293702399,-48964.580770084955,-71957.06033194785,-69669.06871426925,-81621.73111697807,-64744.644134598275,1507440104.891356,stop
-49577.689120494026,-52877.27598873091,-15659.699220621495,-49014.93925034276,-71852.72238883047,-69563.07674206219,-81433.68589087557,-64104.758394331744,1507440104.8915288,stop
-50698.69616016104,-54610.69847472888,-14995.941817276696,-49370.331987182144,-71516.14982082247,-69477.82718870965,-81105.7410962273,-62473.19280781661,1507440104.891716,stop
-50545.34084145318,-54231.63524051133,-15386.739717333285,-49328.601280284085,-71605.28857771022,-69583.99797487236,-81298.07785726522,-63109.323455014644,1507440104.891891,stop
-49447.60196776414,-52568.3078251252,-15984.715936746114,-48986.57488662897,-71935.98263692649,-69673.87433932714,-81611.62812848427,-64651.05738056391,1507440104.892065,stop
-49420.62341220658,-52632.300869500745,-15763.59012884976,-48962.055022961504,-71906.16540982311,-69591.06112612023,-81494.77320847193,-64350.64993508458,1507440104.892247,stop
-50518.78696904027,-54352.222901847716,-15056.626803472855,-49302.449739271375,-71564.16136791246,-69479.5482730327,-81137.32411114266,-62669.15055145628,1507440104.8924239,stop
-50685.821555354785,-54479.672548731876,-15238.905279505883,-49363.35824291209,-71553.99132418529,-69558.00289607083,-81228.6756907315,-62813.252247959645,1507440104.892598,stop
-49576.504478037896,-52753.89435933762,-15932.211689020598,-49018.02379107759,-71901.13626732067,-69670.83450208123,-81584.67192467117,-64492.71762284251,1507440104.892771,stop
-49304.95313465037,-52449.95533823435,-15845.911603678656,-48919.31848756296,-71945.48212832,-69612.51880079732,-81541.30954042787,-64539.6339344542,1507440104.892993,stop
-50315.58726019708,-54050.02731681196,-15151.33114472999,-49229.02425873569,-71627.1038802986,-69489.71831675987,-81186.14032103305,-62928.0061039932,1507440104.893195,stop
-50791.85823105076,-54676.099679005114,-15112.684978566764,-49390.02387404727,-71521.24601855827,-69536.8581458161,-81171.8575563261,-62571.40637295323,1507440104.893377,stop
-49745.61777658675,-53002.71397861409,-15856.014592172456,-49064.11308814443,-71860.65725811211,-69665.40302817858,-81547.07629049734,-64276.91153012652,1507440104.893554,stop
-49237.853197795535,-52338.01780200217,-15911.268104465975,-48896.51970821854,-71979.27796593642,-69637.30688539825,-81583.17435779267,-64677.49949425453,1507440104.893739,stop
-50093.880306944884,-53713.43239705949,-15268.811913587084,-49151.88838862043,-71698.83062825569,-69507.152677435,-81248.79226074128,-63232.19099428547,1507440104.893916,stop
-50833.99126934901,-54777.44248836547,-15013.242067485104,-49396.30471423921,-71504.3257480056,-69517.74740430682,-81129.67981453893,-62409.22211518552,1507440104.894089,stop
-49928.008011342055,-53281.619045927415,-15750.849634510236,-49114.91860329135,-71810.87992321014,-69655.07652224023,-81498.08126665131,-64013.406814742906,1507440104.894262,stop
-49212.28280213867,-52287.30169383308,-15955.613965465303,-48887.66841741424,-72000.93680631362,-69660.48564439842,-81615.42792504167,-64760.35741095035,1507440104.8944361,stop
-49872.19570543715,-53373.23884644972,-15398.206162238857,-49079.11110867395,-71775.40770475956,-69534.62297137058,-81322.66477616606,-63555.93366097614,1507440104.894609,stop
-50821.027257564936,-54789.73594781589,-14956.111008657339,-49388.01221704629,-71510.00309109726,-69508.65024431351,-81110.36790732955,-62342.72567543098,1507440104.894782,stop
-50127.050295716566,-53592.68827351192,-15626.238659171899,-49173.43547027534,-71758.44273071799,-69643.9900569904,-81442.15720202413,-63714.76515707555,1507440104.894957,stop
-49230.722991314295,-52302.23265912922,-15975.037631396966,-48889.702426159674,-72006.32357672734,-69676.57890040624,-81631.5211810495,-64779.57991118192,1507440104.8951318,stop
-49661.88814185717,-53048.78092393648,-15522.191288732445,-49005.4174072048,-71842.0606067253,-69557.91348909301,-81390.0105822099,-63863.583071658984,1507440104.895304,stop
-50740.00218391445,-54694.98690306985,-14936.754397959043,-49351.444763117404,-71527.9291901504,-69497.40731685249,-81104.22117760434,-62369.70423098854,1507440104.8954759,stop
-50318.96237360983,-53902.99754178495,-15480.795858001216,-49223.659840066415,-71698.42829685549,-69621.34773985717,-81371.9056692011,-63390.30723456231,1507440104.895648,stop
-49290.782128665705,-52379.68145366686,-15970.902558672735,-48901.61590595435,-71998.25459697898,-69685.72076388846,-81632.5717130389,-64737.513928117034,1507440104.895823,stop
-49479.47555535741,-52765.09258330972,-15637.90626977757,-48941.73728725163,-71904.33256677778,-69583.1262568386,-81454.18244054109,-64142.443435483394,1507440104.895995,stop
-50604.46120553747,-54508.6180578015,-14963.5317878165,-49298.02409386922,-71566.50830108026,-69494.03220343974,-81120.33678535662,-62494.046985393405,1507440104.8961668,stop
-50493.52949780578,-54194.86662088235,-15329.385141060966,-49269.54797143316,-71643.4653572399,-69596.78317270079,-81300.4918456664,-63069.60440511756,1507440104.896339,stop
-49392.03553104825,-52518.7987111567,-15942.337029258852,-48926.202824855194,-71977.55688161336,-69689.52056044586,-81620.09943963283,-64634.09240652233,1507440104.896511,stop
-49333.92099546445,-52535.29429856471,-15738.980858204468,-48892.27287677203,-71957.84264300378,-69609.99305367387,-81513.05693543637,-64379.103705776186,1507440104.896713,stop
-50424.39555220551,-54246.92383371876,-15028.865936859364,-49230.3206599141,-71617.82790634966,-69496.75911626329,-81154.3561404176,-62698.9007233263,1507440104.8969011,stop
-50634.45724659649,-54442.05456281359,-15183.294139301079,-49305.62368698403,-71595.45381014989,-69572.19625379995,-81233.25779834483,-62778.00354695363,1507440104.897076,stop
-49528.38117222562,-52714.48823386291,-15885.943577998112,-48960.78097352755,-71942.19642188506,-69686.97246157796,-81592.6067939528,-64467.66131730811,1507440104.897248,stop
-49227.727857557285,-52364.41521220389,-15820.631780699705,-48855.63836760978,-71999.01455629047,-69635.51874584184,-81562.4989941715,-64564.131446377214,1507440104.897419,stop
-50219.34064857253,-53937.48628347949,-15129.940525286262,-49158.21393230128,-71684.16788389301,-69511.1089362036,-81208.96145212192,-62970.40736322491,1507440104.897591,stop
-50734.01191640043,-54626.65762026997,-15061.499483764112,-49331.55171055219,-71565.63658304651,-69553.80076811323,-81180.44062619694,-62548.42877965317,1507440104.897761,stop
-49701.24956384296,-52968.091126452826,-15808.874763116213,-49009.97716307368,-71902.61148245473,-69684.6031766657,-81556.57578189085,-64249.59769840213,1507440104.8979342,stop
-49165.500600993706,-52258.847923141475,-15883.082554707833,-48832.81723652092,-72029.10000432731,-69658.80926356427,-81601.30162254591,-64694.03978515146,1507440104.8981051,stop
-49997.141956942316,-53597.8515264811,-15251.578718612041,-49081.01100695265,-71756.58753592819,-69530.5102503908,-81273.37917964211,-63279.77785823082,1507440104.898277,stop
-50770.46761160703,-54715.818728902195,-14970.10320068636,-49335.82089374315,-71551.77850148422,-69536.18759348245,-81140.92274199995,-62399.610865069735,1507440104.898448,stop
-49882.45515614214,-53245.9680135212,-15698.188924573533,-49056.69230898527,-71847.58148760576,-69669.0910660137,-81501.65754576416,-63977.264043958676,1507440104.898619,stop
-49142.05362106009,-52211.35046617395,-15921.192279004132,-48820.210852648124,-72043.82980392335,-69675.50601667239,-81625.79913446894,-64763.77722785202,1507440104.89879,stop
-49773.31158796688,-53253.7687723361,-15378.00018525126,-49002.35521821442,-71826.92847572904,-69551.1185587786,-81340.34500603021,-63596.815001584895,1507440104.8989608,stop
-50746.5288932954,-54709.91786836599,-14915.43083374868,-49318.5429952792,-71553.92426895193,-69520.34020666363,-81117.18518938842,-62339.350562018226,1507440105.359998,stop
-50088.62764699789,-53563.72041269785,-15575.790771936272,-49117.466702159254,-71796.194827103,-69657.66932459704,-81445.19703927006,-63674.777886245,1507440105.360231,stop
-49172.34023479703,-52240.07245779902,-15942.381732747763,-48827.072838195905,-72050.1106441153,-69692.87332211416,-81642.6747015327,-64776.450666958175,1507440105.360418,stop
-49572.727033224946,-52939.92792843914,-15503.616989090086,-48931.14256037981,-71891.94970034953,-69572.8668061336,-81405.85796902872,-63897.84829590897,1507440105.3606641,stop
-50662.5086858879,-54605.624628737525,-14905.707824910622,-49281.483802972296,-71574.33141163962,-69510.17016293647,-81114.30181435369,-62379.15901889313,1507440105.360877,stop
-50282.797251081145,-53875.348433893734,-15431.018523099248,-49168.719252195275,-71735.04045427329,-69633.9317719855,-81373.89497445762,-63347.45894044149,1507440105.361064,stop
-49239.328412929586,-52325.120845451456,-15937.285535011952,-48842.04850698096,-72039.38180677674,-69701.83637164073,-81642.89821897725,-64727.2768291565,1507440105.361242,stop
-49393.98013281586,-52659.90527390305,-15621.522441091829,-48872.29041722899,-71955.51806158043,-69603.1310681261,-81474.72369369552,-64178.36268882307,1507440105.36143,stop
-50520.10572196314,-54405.46475714025,-14942.364685817325,-49228.130188957475,-71616.46444993788,-69510.95247399241,-81136.69826229791,-62520.91378222869,1507440105.361609,stop
-50448.64719493952,-54155.57225412992,-15280.680689892852,-49213.08746493905,-71680.41279082451,-69611.35651008565,-81304.89513932409,-63033.30517212215,1507440105.361784,stop
-49340.0453734452,-52465.95918726435,-15904.406118918196,-48866.12133575932,-72015.21957102056,-69704.71974667546,-81628.14606763674,-64616.63569410273,1507440105.3619578,stop
-49250.3254712016,-52434.48793107128,-15717.925514927569,-48821.551957315445,-72004.11075402627,-69627.04743469328,-81529.35135714429,-64405.5011159779,1507440105.362147,stop
-50339.79419944218,-54140.14955045576,-15015.007855297072,-49161.946673625316,-71671.49444478685,-69517.2109624399,-81175.2103179944,-62736.004619122104,1507440105.362323,stop
-50595.18523158851,-54405.50946062917,-15142.077522525493,-49251.71127935783,-71636.5586682032,-69588.33421329668,-81239.67274900351,-62747.98515415015,1507440105.362498,stop
-49491.72431131892,-52679.977140423915,-15848.727923480026,-48905.661571700766,-71980.61907060375,-69702.39516525212,-81599.40172426721,-64441.5097762954,1507440105.362835,stop
-49162.773688170164,-52285.334740321014,-15803.331530491298,-48792.539393012456,-72048.0095801365,-69654.9424117735,-81579.75454089101,-64583.711574520064,1507440105.363157,stop
-50139.6343278449,-53832.366029306184,-15121.312751926513,-49089.19174542329,-71737.52149790782,-69529.03503525675,-81228.11689712011,-63009.500564277245,1507440105.363413,stop
-50687.83321235576,-54576.94734060137,-15022.763910623064,-49272.386642978985,-71605.64620562151,-69565.93776535247,-81184.79921636573,-62524.601820063814,1507440105.363636,stop
-49670.47121172801,-52938.296251093896,-15769.401582408142,-48955.21538915818,-71938.10605264975,-69696.89663611611,-81560.44263368161,-64215.287770663235,1507440105.363963,stop
-49104.79326305309,-52183.99193096065,-15863.100095164787,-48771.99813985803,-72077.1115514173,-69679.32816497424,-81619.58534951037,-64708.88134346979,1507440105.364287,stop
-49912.38414196779,-53485.35519663754,-15240.626363828942,-49009.12779678438,-71807.3483475862,-69547.13994826555,-81292.42286591804,-63320.27921918383,1507440105.364484,stop
