channel_0,channel_1,channel_2,channel_3,channel_4,channel_5,channel_6,channel_7,time,tag
-30168.283601794676,-6884.136126534478,-58140.798883533345,-57889.43116538897,-17234.93841110926,-32561.529584113312,-19220.890905963293,-28200.01133680479,1507434602.654594,go
-30165.176709315387,-6846.004050493723,-58130.42767410609,-57874.34373788163,-17187.1056779749,-32562.11072946915,-19225.987103699103,-28156.827766517137,1507434602.65485,go
-30149.374025985486,-6895.244943528765,-58158.83674130878,-57911.000598788334,-17295.154010671857,-32577.265212209848,-19226.031807188014,-28282.46692210042,1507434602.6551108,go
-30143.00377881572,-6920.122435107522,-58159.50729364244,-57919.94129657046,-17328.77103433264,-32573.241898207893,-19209.066833146433,-28314.720489349427,1507434602.655366,go
-30146.378892228473,-6869.898065316447,-58134.4733398525,-57888.93942701095,-17231.89857386334,-32563.228316691915,-19205.75877496705,-28212.841238122135,1507434602.6556249,go
-30153.822023132092,-6824.814596750092,-58127.879575238185,-57874.07551694817,-17173.225244668156,-32568.369217916636,-19215.392376827287,-28151.552754825683,1507434602.65588,go
-30141.036825303654,-6857.425791910386,-58148.353773159244,-57903.57981962917,-17261.827559688994,-32574.471244152934,-19204.238856344087,-28250.906258929524,1507434602.656132,go
-30133.928970566867,-6905.593801211572,-58167.24099722398,-57927.83146236318,-17331.63205762292,-32575.789997075797,-19205.445850544675,-28316.776849839312,1507434602.656368,go
-30148.658770162914,-6880.805716610636,-58157.04860175236,-57912.54286915575,-17263.146312611858,-32579.008648277362,-19217.94047569519,-28239.529221001772,1507434602.6565928,go
-30159.342904012552,-6830.179015419366,-58138.429598621085,-57890.54875261173,-17183.864675028883,-32575.00768601986,-19226.456490332665,-28151.888030992515,1507434602.656814,go
-30143.361406727006,-6850.966137762802,-58150.6783545826,-57907.82665107568,-17245.93546938127,-32573.241898207893,-19216.2864466055,-28220.53023821476,1507434602.657036,go
-30130.53150540966,-6914.243926315776,-58164.916415800624,-57934.33581999968,-17322.892525540894,-32578.315744199248,-19199.41087954174,-28315.145172494078,1507434602.657255,go
-30148.122328295987,-6908.812452413136,-58161.94363378807,-57925.79745361775,-17271.03647840458,-32583.858976824165,-19211.346711080874,-28265.59135503666,1507434602.6574988,go
-30150.737482397257,-6850.2732336846875,-58140.530662599886,-57892.42629914598,-17186.524532619063,-32572.325476685226,-19223.394301342287,-28158.750016540293,1507434602.657731,go
-30134.82304034508,-6849.669736584394,-58146.386819647174,-57898.99771201584,-17225.528326693577,-32571.006723762363,-19220.0862431629,-28197.48558968134,1507434602.657963,go
-30124.138906495442,-6917.216708328332,-58168.22447398001,-57932.63708742108,-17319.115080727945,-32577.265212209848,-19190.693699204174,-28311.21126546994,1507434602.6581938,go
-30136.119441523486,-6919.340124051586,-58165.94459604557,-57927.876165852096,-17289.09668792447,-32578.762779088353,-19206.049347644966,-28275.090846430165,1507434602.658431,go
